Timestamp,Gender,Age_Group,Education_Level,Employment_Status,Ward,MP_Performance_Rating,MP_Represents_Interests_Effectively,MP_Should_Be_Reelected,Supported_Political_Party,Trusted_Political_Leader,Preferred_Candidate_If_Election_Today,President_Ruto_Performance_Rating,Country_Heading_Right_Direction,Top_Voting_Issues,Important_MP_Qualities
2025-10-02T05:42:00,Male,55+,Secondary,Self-Employed,Kahuguini,Excellent,Yes,No,Democratic Congress Party,Kalonzo Musyoka,Undecided,Fair,No,"Water, Healthcare","Honesty, Development Record, Accessibility"
2025-10-02T06:33:00,Female,35-44,College,Self-Employed,Gathugu,Excellent,Yes,No,Undecided/None,William Ruto,Undecided,Excellent,Unsure,"Jobs & Youth Empowerment, Roads & Infrastructure","Honesty, Development Record"
2025-10-02T11:56:00,Female,18-24,Postgraduate,Student,Ngenda,Excellent,Yes,Undecided,Jubilee,Rigathi Gachagua,Njinji Murigi,Fair,Unsure,"Security, Water, Roads & Infrastructure, Agriculture/Farming",Development Record
2025-10-03T15:28:00,Female,55+,Secondary,Employed,Kahuguini,Poor,Undecided,Undecided,Undecided/None,Rigathi Gachagua,Moses Kuria,Excellent,No,"Agriculture/Farming, Water",Development Record
2025-10-03T15:46:00,Female,55+,Primary,Student,Ngenda,Poor,Undecided,Yes,Democratic Congress Party,Kalonzo Musyoka,Undecided,Poor,No,"Education, Roads & Infrastructure, Healthcare",Honesty
2025-10-03T20:02:00,Female,45-54,Primary,Self-Employed,Kahuguini,Poor,Yes,Yes,Chama Cha Kazi,William Ruto,Undecided,Good,Unsure,"Security, Roads & Infrastructure","Honesty, Accessibility"
2025-10-03T09:08:00,Female,55+,Postgraduate,Employed,Kahuguini,Fair,Yes,No,Chama Cha Kazi,Rigathi Gachagua,Kungu Kibathi,Poor,No,"Water, Healthcare","Honesty, Accessibility, Development Record"
2025-10-03T09:13:00,Male,18-24,Secondary,Student,Ndarugu,Poor,Yes,No,Jubilee,Rigathi Gachagua,Moses Kuria,Fair,No,"Education, Water, Jobs & Youth Empowerment","Party Affiliation, Honesty, Education Level"
2025-10-03T12:29:00,Male,18-24,Secondary,Unemployed,Kahuguini,Excellent,Undecided,Undecided,Jubilee,Rigathi Gachagua,Undecided,Excellent,Unsure,"Healthcare, Roads & Infrastructure, Jobs & Youth Empowerment",Accessibility
2025-10-03T23:06:00,Female,55+,University,Employed,Ndarugu,Excellent,Yes,Undecided,Jubilee,William Ruto,Moses Kuria,Excellent,No,"Jobs & Youth Empowerment, Agriculture/Farming, Security, Water","Honesty, Development Record, Accessibility"
2025-10-03T08:32:00,Female,55+,Primary,Employed,Ndarugu,Excellent,Yes,Yes,UDA,Fred Matiangi,Moses Kuria,Fair,No,"Education, Roads & Infrastructure, Jobs & Youth Empowerment","Honesty, Education Level, Development Record"
2025-10-03T04:32:00,Male,35-44,Secondary,Unemployed,Gathugu,Good,Yes,No,Undecided/None,Kalonzo Musyoka,Moses Kuria,Excellent,No,"Roads & Infrastructure, Agriculture/Farming, Water",Party Affiliation
2025-10-03T17:16:00,Female,45-54,College,Unemployed,Kiganjo,Good,No,Undecided,Undecided/None,Fred Matiangi,Undecided,Poor,Yes,"Security, Jobs & Youth Empowerment, Healthcare, Water","Development Record, Honesty"
2025-10-04T01:11:00,Female,18-24,College,Student,Ngenda,Poor,Undecided,No,Undecided/None,Kalonzo Musyoka,Moses Kuria,Fair,No,"Agriculture/Farming, Roads & Infrastructure, Security",Party Affiliation
2025-10-04T09:54:00,Male,55+,College,Student,Kiganjo,Good,Yes,No,Democratic Congress Party,Kalonzo Musyoka,Undecided,Fair,No,"Education, Roads & Infrastructure, Security, Jobs & Youth Empowerment","Honesty, Party Affiliation"
2025-10-04T12:12:00,Female,25-34,University,Self-Employed,Gathugu,Very Poor,Undecided,Yes,Undecided/None,Fred Matiangi,Njinji Murigi,Very Poor,Unsure,"Education, Security, Water","Honesty, Development Record, Accessibility"
2025-10-04T07:10:00,Male,45-54,Secondary,Unemployed,Kiganjo,Very Poor,No,Yes,Undecided/None,William Ruto,Moses Kuria,Fair,Yes,"Roads & Infrastructure, Security",Honesty
2025-10-04T00:25:00,Male,18-24,College,Self-Employed,Gathugu,Fair,No,Undecided,Chama Cha Kazi,Undecided/None,Moses Kuria,Fair,Yes,"Security, Healthcare, Agriculture/Farming","Accessibility, Education Level"
2025-10-04T07:36:00,Female,18-24,Secondary,Unemployed,Ndarugu,Fair,Yes,Undecided,Undecided/None,William Ruto,Kungu Kibathi,Excellent,Unsure,"Education, Water, Jobs & Youth Empowerment","Development Record, Education Level, Accessibility"
2025-10-04T18:28:00,Female,25-34,Primary,Student,Kiganjo,Fair,Undecided,No,Chama Cha Kazi,Rigathi Gachagua,Njinji Murigi,Poor,Unsure,"Healthcare, Roads & Infrastructure","Development Record, Education Level"
2025-10-04T14:50:00,Male,18-24,Primary,Self-Employed,Ngenda,Good,Undecided,Undecided,Jubilee,Kalonzo Musyoka,Njinji Murigi,Fair,No,"Water, Roads & Infrastructure, Education, Agriculture/Farming","Party Affiliation, Development Record"
2025-10-04T16:17:00,Female,45-54,Primary,Self-Employed,Ngenda,Poor,No,Undecided,Chama Cha Kazi,William Ruto,Kungu Kibathi,Good,Yes,"Healthcare, Education","Honesty, Education Level"
2025-10-04T05:42:00,Male,18-24,University,Employed,Ndarugu,Very Poor,No,Undecided,Undecided/None,Undecided/None,Kungu Kibathi,Poor,Yes,"Security, Education, Roads & Infrastructure","Party Affiliation, Development Record, Education Level"
2025-10-05T07:45:00,Male,25-34,University,Student,Kiganjo,Excellent,Undecided,No,Undecided/None,Undecided/None,Moses Kuria,Very Poor,Unsure,"Security, Healthcare","Honesty, Party Affiliation"
2025-10-05T21:27:00,Male,45-54,University,Student,Kiganjo,Fair,Yes,Undecided,Chama Cha Kazi,Rigathi Gachagua,Undecided,Very Poor,No,"Roads & Infrastructure, Education",Party Affiliation
2025-10-05T07:40:00,Female,25-34,Postgraduate,Student,Ngenda,Excellent,Yes,Undecided,Undecided/None,William Ruto,Undecided,Poor,No,"Healthcare, Agriculture/Farming, Security","Education Level, Accessibility, Development Record"
2025-10-05T02:25:00,Female,18-24,Primary,Self-Employed,Gathugu,Fair,Yes,No,UDA,Fred Matiangi,Njinji Murigi,Very Poor,Unsure,"Water, Security, Agriculture/Farming, Jobs & Youth Empowerment",Honesty
2025-10-05T21:45:00,Male,55+,Primary,Self-Employed,Ngenda,Excellent,Yes,Yes,Chama Cha Kazi,William Ruto,Kungu Kibathi,Excellent,Yes,"Healthcare, Jobs & Youth Empowerment, Security, Agriculture/Farming","Accessibility, Honesty"
2025-10-05T06:39:00,Female,35-44,University,Self-Employed,Ngenda,Fair,No,Yes,Democratic Congress Party,Undecided/None,Undecided,Very Poor,No,"Water, Roads & Infrastructure, Education, Healthcare","Party Affiliation, Accessibility"
2025-10-05T04:24:00,Female,45-54,Primary,Student,Kiganjo,Good,Yes,No,Democratic Congress Party,Rigathi Gachagua,Njinji Murigi,Poor,No,"Healthcare, Education",Education Level
2025-10-05T19:26:00,Male,18-24,College,Employed,Ndarugu,Poor,Undecided,Undecided,UDA,William Ruto,Moses Kuria,Poor,No,"Education, Roads & Infrastructure",Development Record
2025-10-05T22:19:00,Female,25-34,Secondary,Student,Ngenda,Good,Undecided,Yes,Jubilee,William Ruto,Njinji Murigi,Poor,Yes,"Agriculture/Farming, Education, Security","Development Record, Party Affiliation"
2025-10-05T09:38:00,Male,45-54,College,Self-Employed,Gathugu,Very Poor,Undecided,Undecided,Democratic Congress Party,William Ruto,Kungu Kibathi,Very Poor,Yes,"Education, Roads & Infrastructure, Agriculture/Farming, Healthcare",Honesty
2025-10-06T00:10:00,Male,55+,College,Student,Ndarugu,Good,Undecided,No,Democratic Congress Party,William Ruto,Moses Kuria,Excellent,No,"Education, Security, Healthcare, Agriculture/Farming","Party Affiliation, Honesty"
2025-10-06T09:22:00,Male,18-24,Primary,Employed,Gathugu,Excellent,Yes,No,Jubilee,Rigathi Gachagua,Kungu Kibathi,Fair,Unsure,"Jobs & Youth Empowerment, Water, Roads & Infrastructure, Agriculture/Farming",Development Record
2025-10-06T15:12:00,Female,45-54,Primary,Student,Gathugu,Poor,Undecided,Undecided,Chama Cha Kazi,Undecided/None,Moses Kuria,Excellent,Yes,"Security, Water, Roads & Infrastructure, Healthcare","Party Affiliation, Accessibility, Honesty"
2025-10-06T20:37:00,Female,18-24,University,Employed,Kiganjo,Poor,Undecided,No,Chama Cha Kazi,Kalonzo Musyoka,Undecided,Fair,Yes,"Security, Jobs & Youth Empowerment","Honesty, Accessibility, Education Level"
2025-10-06T22:39:00,Male,55+,College,Unemployed,Gathugu,Excellent,No,No,Undecided/None,Rigathi Gachagua,Kungu Kibathi,Poor,Unsure,"Security, Education","Education Level, Honesty, Party Affiliation"
2025-10-06T12:37:00,Male,45-54,Primary,Unemployed,Ngenda,Very Poor,No,No,Chama Cha Kazi,Kalonzo Musyoka,Moses Kuria,Very Poor,Yes,"Agriculture/Farming, Roads & Infrastructure",Education Level
2025-10-06T21:12:00,Male,35-44,College,Self-Employed,Kahuguini,Excellent,No,No,Jubilee,Undecided/None,Moses Kuria,Poor,Unsure,"Education, Roads & Infrastructure, Healthcare, Security",Accessibility
2025-10-06T21:54:00,Male,45-54,College,Employed,Ndarugu,Fair,Undecided,Yes,Undecided/None,Fred Matiangi,Undecided,Excellent,No,"Education, Agriculture/Farming, Security, Roads & Infrastructure","Accessibility, Education Level, Honesty"
2025-10-06T20:22:00,Male,55+,Secondary,Employed,Ngenda,Excellent,Undecided,No,Democratic Congress Party,Fred Matiangi,Undecided,Very Poor,Unsure,"Jobs & Youth Empowerment, Water","Honesty, Development Record"
2025-10-06T02:56:00,Female,18-24,Primary,Employed,Ngenda,Very Poor,Yes,Undecided,UDA,Kalonzo Musyoka,Moses Kuria,Fair,Yes,"Roads & Infrastructure, Jobs & Youth Empowerment, Education, Security","Accessibility, Education Level, Party Affiliation"
2025-10-07T03:52:00,Female,55+,University,Employed,Kahuguini,Good,Yes,No,Undecided/None,Kalonzo Musyoka,Moses Kuria,Excellent,No,"Agriculture/Farming, Water, Education","Accessibility, Party Affiliation, Education Level"
2025-10-07T22:46:00,Male,45-54,Primary,Unemployed,Ndarugu,Very Poor,No,No,Democratic Congress Party,Kalonzo Musyoka,Kungu Kibathi,Excellent,Yes,"Roads & Infrastructure, Security, Education, Healthcare","Development Record, Education Level"
2025-10-07T02:49:00,Female,55+,Postgraduate,Student,Kiganjo,Very Poor,No,Undecided,Undecided/None,Fred Matiangi,Undecided,Excellent,No,"Jobs & Youth Empowerment, Water, Security","Accessibility, Education Level"
2025-10-07T13:52:00,Male,18-24,Primary,Self-Employed,Kahuguini,Fair,Yes,Undecided,Chama Cha Kazi,William Ruto,Njinji Murigi,Poor,Yes,"Roads & Infrastructure, Security, Jobs & Youth Empowerment, Education",Party Affiliation
2025-10-07T07:28:00,Female,45-54,Primary,Unemployed,Gathugu,Good,Undecided,Undecided,Undecided/None,William Ruto,Undecided,Fair,Unsure,"Security, Water, Roads & Infrastructure",Development Record
2025-10-07T07:47:00,Male,45-54,University,Unemployed,Ndarugu,Very Poor,No,Undecided,Jubilee,Fred Matiangi,Njinji Murigi,Good,Unsure,"Roads & Infrastructure, Jobs & Youth Empowerment, Healthcare","Honesty, Accessibility"
2025-10-07T14:13:00,Male,45-54,College,Employed,Kahuguini,Poor,No,Yes,Democratic Congress Party,Kalonzo Musyoka,Kungu Kibathi,Good,Unsure,"Security, Agriculture/Farming, Jobs & Youth Empowerment",Party Affiliation
2025-10-07T00:06:00,Male,45-54,University,Employed,Gathugu,Good,Yes,Yes,Jubilee,Rigathi Gachagua,Kungu Kibathi,Excellent,No,"Roads & Infrastructure, Security, Water, Jobs & Youth Empowerment",Party Affiliation
2025-10-07T16:31:00,Male,45-54,University,Self-Employed,Ndarugu,Fair,Yes,Undecided,Jubilee,William Ruto,Njinji Murigi,Excellent,No,"Healthcare, Security, Roads & Infrastructure, Education","Party Affiliation, Honesty"
2025-10-07T23:38:00,Female,45-54,Postgraduate,Student,Kiganjo,Excellent,No,No,UDA,Kalonzo Musyoka,Kungu Kibathi,Very Poor,No,"Roads & Infrastructure, Jobs & Youth Empowerment, Water",Party Affiliation
2025-10-08T14:54:00,Male,25-34,University,Student,Ngenda,Fair,Yes,Yes,Chama Cha Kazi,Fred Matiangi,Kungu Kibathi,Excellent,No,"Education, Roads & Infrastructure, Jobs & Youth Empowerment","Honesty, Development Record"
2025-10-08T22:27:00,Male,45-54,Postgraduate,Self-Employed,Gathugu,Good,Yes,No,Undecided/None,Fred Matiangi,Undecided,Very Poor,Yes,"Agriculture/Farming, Healthcare, Jobs & Youth Empowerment","Honesty, Development Record, Education Level"
2025-10-08T02:38:00,Male,45-54,University,Employed,Kiganjo,Good,Undecided,No,Chama Cha Kazi,William Ruto,Undecided,Excellent,Unsure,"Roads & Infrastructure, Security, Water, Agriculture/Farming","Development Record, Education Level"
2025-10-08T20:49:00,Female,25-34,University,Self-Employed,Ndarugu,Fair,Undecided,No,Jubilee,Kalonzo Musyoka,Kungu Kibathi,Very Poor,No,"Jobs & Youth Empowerment, Roads & Infrastructure, Healthcare","Party Affiliation, Development Record, Honesty"
2025-10-08T17:07:00,Male,45-54,Postgraduate,Employed,Kiganjo,Very Poor,Undecided,No,Democratic Congress Party,William Ruto,Kungu Kibathi,Good,No,"Education, Healthcare, Jobs & Youth Empowerment",Honesty
2025-10-08T00:24:00,Male,18-24,University,Self-Employed,Ndarugu,Good,Undecided,Yes,Democratic Congress Party,Undecided/None,Njinji Murigi,Excellent,Unsure,"Jobs & Youth Empowerment, Water, Security","Party Affiliation, Development Record, Honesty"
2025-10-08T19:28:00,Female,18-24,University,Student,Kiganjo,Excellent,Undecided,No,UDA,Rigathi Gachagua,Undecided,Very Poor,No,"Education, Roads & Infrastructure, Jobs & Youth Empowerment, Healthcare","Honesty, Accessibility"
2025-10-08T11:14:00,Female,18-24,Secondary,Self-Employed,Ndarugu,Fair,No,Undecided,Democratic Congress Party,Kalonzo Musyoka,Undecided,Fair,No,"Roads & Infrastructure, Water, Security","Accessibility, Honesty"
2025-10-08T06:17:00,Male,18-24,Secondary,Student,Ndarugu,Excellent,Undecided,Yes,Democratic Congress Party,Fred Matiangi,Njinji Murigi,Good,Yes,"Education, Roads & Infrastructure, Agriculture/Farming, Jobs & Youth Empowerment","Development Record, Education Level"
2025-10-08T13:45:00,Female,45-54,Primary,Employed,Ndarugu,Very Poor,Undecided,Yes,UDA,Kalonzo Musyoka,Kungu Kibathi,Fair,Yes,"Healthcare, Security, Roads & Infrastructure",Education Level
2025-10-09T17:09:00,Female,55+,Postgraduate,Unemployed,Kahuguini,Very Poor,Yes,Yes,Jubilee,Kalonzo Musyoka,Kungu Kibathi,Fair,No,"Agriculture/Farming, Healthcare","Party Affiliation, Accessibility, Development Record"
2025-10-09T01:00:00,Female,45-54,Postgraduate,Unemployed,Kahuguini,Good,No,No,Undecided/None,Fred Matiangi,Kungu Kibathi,Poor,No,"Healthcare, Water, Roads & Infrastructure, Agriculture/Farming","Education Level, Party Affiliation"
2025-10-09T01:17:00,Male,35-44,Secondary,Self-Employed,Gathugu,Excellent,Yes,Yes,Jubilee,Fred Matiangi,Kungu Kibathi,Excellent,Unsure,"Agriculture/Farming, Security, Jobs & Youth Empowerment, Healthcare","Development Record, Accessibility, Education Level"
2025-10-09T14:00:00,Female,35-44,Postgraduate,Employed,Ndarugu,Good,No,Yes,Jubilee,Kalonzo Musyoka,Njinji Murigi,Fair,Yes,"Agriculture/Farming, Education, Jobs & Youth Empowerment, Healthcare","Party Affiliation, Accessibility, Honesty"
2025-10-09T20:24:00,Male,25-34,College,Self-Employed,Ndarugu,Fair,Undecided,No,Chama Cha Kazi,Kalonzo Musyoka,Kungu Kibathi,Very Poor,Unsure,"Roads & Infrastructure, Education","Accessibility, Party Affiliation, Honesty"
2025-10-09T19:20:00,Female,55+,Primary,Employed,Ngenda,Excellent,Yes,Yes,Chama Cha Kazi,William Ruto,Njinji Murigi,Fair,Yes,"Healthcare, Security, Agriculture/Farming","Accessibility, Honesty, Development Record"
2025-10-09T19:14:00,Female,55+,Primary,Employed,Ngenda,Good,Undecided,No,UDA,Undecided/None,Njinji Murigi,Fair,Unsure,"Security, Agriculture/Farming",Party Affiliation
2025-10-09T06:29:00,Female,25-34,University,Unemployed,Ngenda,Excellent,No,No,Chama Cha Kazi,Rigathi Gachagua,Moses Kuria,Poor,Unsure,"Agriculture/Farming, Roads & Infrastructure","Party Affiliation, Accessibility"
2025-10-09T09:41:00,Male,25-34,Postgraduate,Unemployed,Ndarugu,Good,No,Yes,UDA,Kalonzo Musyoka,Undecided,Excellent,No,"Security, Healthcare","Education Level, Honesty"
2025-10-09T14:26:00,Female,25-34,University,Unemployed,Ndarugu,Very Poor,No,No,Jubilee,Fred Matiangi,Njinji Murigi,Fair,No,"Healthcare, Roads & Infrastructure, Jobs & Youth Empowerment, Agriculture/Farming","Party Affiliation, Accessibility"
2025-10-10T07:40:00,Male,35-44,University,Student,Kahuguini,Good,Yes,Yes,UDA,William Ruto,Undecided,Excellent,Unsure,"Healthcare, Water, Agriculture/Farming","Development Record, Accessibility"
2025-10-10T06:17:00,Female,25-34,Secondary,Student,Kahuguini,Poor,Undecided,No,Jubilee,Rigathi Gachagua,Undecided,Good,Yes,"Water, Jobs & Youth Empowerment, Agriculture/Farming",Education Level
2025-10-10T01:18:00,Male,45-54,Secondary,Employed,Kahuguini,Fair,No,Yes,UDA,Rigathi Gachagua,Njinji Murigi,Poor,Yes,"Jobs & Youth Empowerment, Water, Security, Education",Education Level
2025-10-10T05:40:00,Female,25-34,Secondary,Employed,Kahuguini,Very Poor,No,Undecided,Democratic Congress Party,Rigathi Gachagua,Undecided,Very Poor,Yes,"Education, Jobs & Youth Empowerment, Roads & Infrastructure",Accessibility
2025-10-10T16:56:00,Male,55+,College,Unemployed,Kahuguini,Fair,No,No,Undecided/None,Undecided/None,Undecided,Excellent,Yes,"Security, Jobs & Youth Empowerment, Water",Education Level
2025-10-10T21:54:00,Female,25-34,University,Employed,Kiganjo,Poor,No,Yes,Chama Cha Kazi,Undecided/None,Kungu Kibathi,Poor,Yes,"Education, Water, Security","Honesty, Accessibility"
2025-10-10T19:47:00,Female,55+,Primary,Student,Kahuguini,Excellent,No,Yes,Jubilee,Undecided/None,Moses Kuria,Poor,No,"Jobs & Youth Empowerment, Roads & Infrastructure, Security, Healthcare","Development Record, Honesty"
2025-10-10T15:41:00,Male,45-54,Postgraduate,Self-Employed,Ndarugu,Fair,Undecided,Yes,UDA,Fred Matiangi,Moses Kuria,Poor,Unsure,"Healthcare, Agriculture/Farming, Jobs & Youth Empowerment, Education","Education Level, Development Record"
2025-10-10T16:59:00,Male,55+,Secondary,Self-Employed,Kahuguini,Excellent,No,Yes,UDA,Undecided/None,Njinji Murigi,Good,Unsure,"Agriculture/Farming, Security, Jobs & Youth Empowerment, Healthcare",Party Affiliation
2025-10-10T03:23:00,Female,35-44,Primary,Unemployed,Gathugu,Very Poor,Undecided,Yes,Jubilee,Rigathi Gachagua,Njinji Murigi,Poor,Yes,"Water, Education, Agriculture/Farming, Healthcare","Honesty, Development Record"
2025-10-11T07:44:00,Female,55+,College,Employed,Kahuguini,Fair,Undecided,Undecided,Jubilee,Undecided/None,Undecided,Fair,Unsure,"Jobs & Youth Empowerment, Security, Healthcare, Agriculture/Farming","Accessibility, Education Level, Honesty"
2025-10-11T15:35:00,Male,55+,University,Student,Ngenda,Excellent,Undecided,No,Democratic Congress Party,Undecided/None,Kungu Kibathi,Good,No,"Jobs & Youth Empowerment, Security","Development Record, Education Level"
2025-10-11T22:19:00,Female,45-54,University,Self-Employed,Ndarugu,Excellent,Undecided,Yes,UDA,Fred Matiangi,Kungu Kibathi,Very Poor,Unsure,"Jobs & Youth Empowerment, Education, Healthcare","Development Record, Education Level"
2025-10-11T05:05:00,Female,45-54,Primary,Employed,Ndarugu,Very Poor,No,Undecided,Chama Cha Kazi,Kalonzo Musyoka,Njinji Murigi,Excellent,No,"Agriculture/Farming, Jobs & Youth Empowerment, Education, Security","Education Level, Party Affiliation, Development Record"
2025-10-11T10:55:00,Female,25-34,Postgraduate,Self-Employed,Kiganjo,Poor,Yes,Yes,Democratic Congress Party,William Ruto,Moses Kuria,Very Poor,Unsure,"Jobs & Youth Empowerment, Agriculture/Farming","Accessibility, Education Level"
2025-10-11T01:55:00,Male,25-34,Secondary,Student,Kiganjo,Fair,No,Yes,Democratic Congress Party,Kalonzo Musyoka,Njinji Murigi,Good,Unsure,"Water, Agriculture/Farming, Healthcare","Development Record, Honesty"
2025-10-11T15:39:00,Female,25-34,Postgraduate,Student,Ngenda,Fair,No,Yes,Jubilee,William Ruto,Kungu Kibathi,Very Poor,Unsure,"Water, Education, Healthcare","Party Affiliation, Accessibility, Development Record"
2025-10-11T08:03:00,Female,55+,Primary,Employed,Gathugu,Very Poor,Undecided,No,UDA,William Ruto,Undecided,Very Poor,No,"Security, Water","Party Affiliation, Accessibility, Education Level"
2025-10-11T14:50:00,Male,35-44,College,Employed,Ndarugu,Fair,Yes,Undecided,Jubilee,William Ruto,Moses Kuria,Fair,Unsure,"Jobs & Youth Empowerment, Water, Security, Healthcare","Honesty, Accessibility, Education Level"
2025-10-11T17:11:00,Female,45-54,Primary,Student,Ngenda,Poor,No,No,Jubilee,William Ruto,Njinji Murigi,Fair,Yes,"Healthcare, Jobs & Youth Empowerment","Education Level, Party Affiliation, Accessibility"
2025-10-12T04:12:00,Female,18-24,Primary,Employed,Gathugu,Excellent,No,Yes,UDA,Kalonzo Musyoka,Kungu Kibathi,Good,No,"Security, Agriculture/Farming, Jobs & Youth Empowerment",Party Affiliation
2025-10-12T06:26:00,Male,35-44,Secondary,Student,Kiganjo,Fair,No,Undecided,UDA,William Ruto,Moses Kuria,Fair,No,"Education, Healthcare",Honesty
2025-10-12T09:33:00,Female,35-44,Postgraduate,Student,Gathugu,Excellent,Yes,Undecided,Democratic Congress Party,William Ruto,Moses Kuria,Poor,Yes,"Security, Jobs & Youth Empowerment, Water",Honesty
2025-10-12T03:19:00,Female,18-24,University,Employed,Ngenda,Good,Undecided,Yes,Jubilee,William Ruto,Njinji Murigi,Very Poor,No,"Healthcare, Roads & Infrastructure, Jobs & Youth Empowerment","Education Level, Party Affiliation"
2025-10-12T04:52:00,Female,25-34,Primary,Student,Kahuguini,Fair,Yes,No,Undecided/None,Kalonzo Musyoka,Njinji Murigi,Very Poor,Unsure,"Jobs & Youth Empowerment, Water","Education Level, Accessibility"
2025-10-12T04:39:00,Male,35-44,University,Self-Employed,Gathugu,Very Poor,Yes,No,Chama Cha Kazi,William Ruto,Moses Kuria,Good,No,"Roads & Infrastructure, Security, Water","Education Level, Honesty"
2025-10-12T21:04:00,Male,35-44,Primary,Employed,Kiganjo,Good,Yes,Undecided,Jubilee,Kalonzo Musyoka,Njinji Murigi,Very Poor,No,"Water, Healthcare, Jobs & Youth Empowerment, Roads & Infrastructure",Education Level
2025-10-12T14:15:00,Male,55+,College,Self-Employed,Ngenda,Very Poor,No,Yes,Jubilee,Kalonzo Musyoka,Moses Kuria,Fair,Yes,"Education, Water",Accessibility
2025-10-12T15:41:00,Male,45-54,University,Student,Kahuguini,Excellent,No,No,UDA,Undecided/None,Njinji Murigi,Fair,No,"Agriculture/Farming, Education, Security",Accessibility
